ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
791217710,922699035,1081113479,580013426,222817244,1566607375,1347834632,190538915,20775879282
752912215,923277054,1081708023,579301759,221777695,1566804544,1347589980,190258838,20519953109
790401048,922211445,1081270780,579922494,220505933,1567132162,1346727967,190886079,20775034737
752163047,922307419,1082400674,580411992,224187610,1566549252,1346912810,190516263,20520378048
791060431,922700842,1082125519,578816701,225360610,1566264657,1346946564,190889299,20777973562
753221502,922577164,1081831402,577544153,220582434,1566781985,1346538303,190880137,20521380078
790145838,922417063,1082112578,579950936,223949593,1566747599,1347486440,190388005,20771343455
753089087,922797488,1081904644,577376248,221712500,1566489196,1347301954,190482210,20524873880
790733957,922734317,1082020955,577956778,224728462,1566244713,1348260865,190687972,20774243681
752506991,922192378,1081766654,578838282,225448859,1566922547,1347927390,190488073,20529825183
791557198,922924591,1081328476,577602712,222908377,1566501350,1348539207,190250712,20778096623
